STATE,POSTCODE,TLHLAUD,TLHLMED,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,MH19
Alabama,AL,1,1,0,0,0,1,100.7
Alaska,AK,1,1,0,0,0,0,429.9
Arizona,AZ,1,1,0,0,0,0,132.9
Arkansas,AR,1,1,0,0,0,0,231.6
California,CA,1,1,0,0,0,0,356.2
Colorado,CO,1,1,0,0,0,0,356.4
Connecticut,CT,1,1,0,0,0,0,396.9
Delaware,DE,1,1,0,0,0,0,262.6
Florida,FL,0,1,0,0,0,0,160.5
Georgia,GA,1,1,0,0,0,0,137.3
Hawaii,HI,1,1,0,0,0,0,250.5
Idaho,ID,1,1,0,0,0,0,208.8
Illinois,IL,1,1,0,0,0,0,228.8
Indiana,IN,1,1,0,0,0,1,160
Iowa,IA,1,1,0,0,0,0,155.7
Kansas,KS,1,1,0,0,0,0,196.7
Kentucky,KY,1,1,0,0,0,0,227.5
Louisiana,LA,1,1,0,0,0,0,264.6
Maine,ME,1,1,0,1,0,0,474.6
Maryland,MD,1,1,0,0,0,0,257.4
Massachusetts,MA,1,1,0,0,0,0,626.6
Michigan,MI,1,1,0,0,0,0,265.4
Minnesota,MN,1,1,0,0,0,0,250.7
Mississippi,MS,1,1,0,0,0,0,159
Missouri,MO,1,1,0,0,0,0,193.7
Montana,MT,1,1,0,0,0,0,295.3
Nebraska,NE,1,1,0,0,0,0,254.7
Nevada,NV,1,1,0,0,0,0,211.6
New Hampshire,NH,1,1,0,0,0,0,307.3
New Jersey,NJ,1,1,0,0,0,0,220.7
New Mexico,NM,1,1,0,0,0,0,388.8
New York,NY,1,1,0,0,0,1,291.1
North Carolina,NC,0,1,0,0,0,0,243.6
North Dakota,ND,1,1,0,0,0,0,188.4
Ohio,OH,1,1,0,0,0,0,245.1
Oklahoma,OK,1,1,0,0,0,0,401.4
Oregon,OR,1,1,0,0,0,0,522.3
Pennsylvania,PA,1,1,1,1,0,1,206.2
Rhode Island,RI,1,1,1,0,1,0,409.5
South Carolina,SC,1,1,0,0,0,0,174.1
South Dakota,SD,1,1,0,0,0,0,179
Tennessee,TN,1,1,0,0,0,0,153
Texas,TX,1,1,0,0,0,0,111.8
Utah,UT,1,1,0,0,0,0,335.5
Vermont,VT,1,1,0,0,0,0,452.3
Virginia,VA,1,1,0,0,0,0,171.9
Washington,WA,1,1,0,0,0,0,373.3
West Virginia,WV,1,1,0,0,0,1,127.8
Wisconsin,WI,1,1,0,0,0,0,200.2
Wyoming,WY,0,0,0,0,0,0,343.2
