State,state_ave
AK,2.7600000000000002
AL,1.4819999999999998
AR,1.2
AZ,3.382
CA,2.466
CO,2.8880000000000003
CT,3.84
DE,4.734
FL,2.8360000000000003
GA,1.652
HI,2.024
IA,1.202
ID,1.7719999999999998
IL,2.7819999999999996
IN,2.696
KS,1.428
KY,2.998
LA,2.956
MA,3.604
MD,4.594000000000001
ME,2.772
MI,2.388
MN,1.802
MO,2.58
MS,1.238
MT,1.364
NC,2.322
ND,1.22
NE,0.908
NH,3.12
NJ,3.594
NM,3.3940000000000006
NV,2.6759999999999997
NY,2.15
OH,3.528
OK,1.6179999999999999
OR,1.732
PA,3.3260000000000005
RI,3.062
SC,2.436
SD,1.076
TN,2.992
TX,1.5859999999999999
UT,2.888
VA,2.252
VT,2.084
WA,2.268
WI,2.346
WV,4.026
WY,1.7119999999999997
